,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
481,"Second Bedroom With Her Own Washroom In Luxury 'Aura' 2 Br Condo With Hardwood Floor. Looking For Female Roommate Share The Kitchen & Living Room. Upgraded Appliances, Beautiful Bay Street View, Big Balcony. 9Ft Ceiling, Granite Counter Top, Back-Splash. Underground Connect To College Subway Station. Close To Financial District, U Of T, Ryerson U Etc. 24 Hour Concierge, Big Gym, And More**** EXTRAS **** Existing Roommate Is A Young Female Student Studies In U Of T. This Lovely Private Bedroom Has Her Own Bathroom With Shower, Non Smokers/No Pets Please. Looking For Female Roommate Share The Kitchen & Living Room (30437899)",1,Apartment,"#2501 -386 YONGE ST ST|Toronto, Ontario M5B0A5","$1,700/Monthly",Single Family,Condominium/Strata,
482,"Beautiful Spacious Two-Bedroom Basement Apartment W/Separate Entrance. High Demand Yonge And Elgin Mills Area. Open Concept Kitchen, 2 Parking Spaces. Great Location. Walk To High Ranked Richmond Hill High School, Catholic School. Close To Bernard Bus Terminal, Go Station, Shopping Mall, School, Yonge St, & Parks.**** EXTRAS **** New Fridge, New Range Hood, Stove, Washer/Dryer, All Elfs. Tenant Pays 30% Of The Utilities & Responsible To Keep The Side Entrance Snow Free. Parking Space Included. No Pets, No Smoking! Aaa+ Tenant Only (30102865)",2,House,"228 BERNARD AVE|Richmond Hill, Ontario L4S1E2","$1,700/Monthly",Single Family,Freehold,2
483,"Fully Furnished Basement Apartment Located In The Highly Desired West Lansing Neighborhood. Steps To Sheppard Subway & Bus Route, Parks, Restaurants, City Hall And So Much More. Quiet Neighborhood With Lots Of Young Adults & Families. The Property Is Split Into Two, Already Tenanted Upstairs. The Landlord Is Extremely Accommodating & Great To Work With. Utilities Are Split Between All Parties In The Home Equally.**** EXTRAS **** One Parking Spot On The Drive Way Available. Both Front & Backyard Is Accessible By Anyone Living In The Home. High Efficient Furnace Keeps Utility Costs Low. Separate Entrance On The Side Of The Home By Driveway. Aaa Tenants Please (30216097)",1,House,"290 BOGERT AVE|Toronto, Ontario M2N1L5","$1,700/Monthly",Single Family,Freehold,3
484,"Beautiful Available Immediately, 3 Well Lit Spacious Bedrooms With Lots Of Natural Light Coming In, 1 Full Bath, Kitchen & Living Area, Shared Laundry, Hardwood Flooring & Separate Entrance, 1 Parking Available. The Apartment Is Clean & Well Maintained. Close To All The Basic Amenities.**** EXTRAS **** Fridge, Washer & Dryer, Stove, All Window Coverings. Very Close To All Amenities,401 And Gm Facility. Utilities Are 60/40 Split (29771197)",3,House,"821 OXFORD ST|Oshawa, Ontario L1J8P6","$1,700/Monthly",Single Family,Freehold,1
485,"Beautifully Maintained Upper Beach Gem At Danforth & Main. Completely Renovated Bright Lower Level Apartment. Approx. 750 Sf With Pot Lights & Stainless Steel Appliances. Spacious Floor Plan With Open Concept Den Or Perfect Work From Home Office. Excellent Landlord Looking For Aaa Tenant. Steps To Subway, Danforth, Shops, Restaurants, Parks, Schools. Short Walk To Beaches And The Boardwalk.**** EXTRAS **** Stainless Steel Appliances: Fridge, Stove. All Window Coverings, Electric Light Fixtures. No Pets, No Smoking Shared Use Of Washer/Dryer In Common Area. (30244856)",1,House,"#LOWER -87 DAWES RD|Toronto, Ontario M4C5B2","$1,700/Monthly",Single Family,Freehold,
486,"Welcome Home To Your Newly Renovated, Open Concept 1 Bed, 1 Bath Basement Apartment With An Incredible Private Outdoor Space  In The Beautiful Bluffs! Steps Away From The Beach, Parks, Restaurants, Shops & High Demand Schools (R.H. King), Great Parks And Trails.**** EXTRAS **** Separate Entrance, Stainless Steel Fridge, Stove, Microwave, 3 Pc Bath, Shared Laundry Facilities. Everything Included - All Utilities Plus Cable Tv And Wifi. (30258378)",1,House,"#BSMT -46 GRADWELL DR|Toronto, Ontario M1M2M9","$1,700/Monthly",Single Family,Freehold,
487,"Great Location!! Quiet Neighborhood With A Spacious Unit In The Basement. Two Big Bedrooms For A Couple Or A Small Family. Walking Distance To Schools, Transit, Groceries Etc. Minutes To Highway 401, Centenary Hospital, To Panam Centre, Rouge Beach.**** EXTRAS **** Tenant Pays 30% Of Utilities. Shared Laundry With Landlord. No Smoking On Premises Or Around. Parking Spot On The Driveway Is Negotiable. (30263501)",2,House,"#BSMT -128A WEIR CRES|Toronto, Ontario M1E3B4","$1,700/Monthly",Single Family,Freehold,1
488,"Spacious Two Bedroom Lower Level Apartment In The Heart Of Englemount-Lawrence Neighbourhood. Split Bedroom Plan With Highly Functional Layout. Bright Unit With Excellent Ceiling Height. Tenant Has Shared Access To Backyard And Garden. A Short Bus To Yorkdale Shopping Centre And The Subway System. Walking Distance To Excellent Retail Stores Along Bathurst Street.**** EXTRAS **** Fridge, Stove, All Electrical Light Fixtures, Shared Laundry. 1 Car Parking. Tenant To Pay 50% Of Heat/Hydro/Water (Average About $150 Per Month As Per Landlord). (30311749)",2,House,"#LOWER -16 REGINA AVE|Toronto, Ontario M6A1R1","$1,700/Monthly",Single Family,Freehold,
489,"Newly Renovated! Brand New Appliances. In Quiet, Beautiful Neighbourhood! Close Proximity To Excellent Schools, Entertainment, Restaurants, Churches, And More. Minutes Away From Hwy 400, 407 & 427, And Public Transportation Including Bus And Subway. 2 Bedroom, 1 Bath. Master Bedroom With Built-In Closets. Corner Lot Provides Huge Yard! Perfect For Entertaining And Enjoying The Warm Summer Days And Nights. Private Entrance At Back Of Property To Lower Level.**** EXTRAS **** S/S Fridge, Stove, Dishwasher. Ensuite Stacked Washer/Dryer. Parking Along One Side Of The Driveway Will Be Included. All Light Fixtures And Window Dressings. Lower Level Only. (30295108)",2,Other,"#LOWER -4 LARCHMERE AVE|Toronto, Ontario M9L2N1","$1,700/Monthly",Single Family,,1
490,"Newly Renovated Spacious Finished Basement In Heart Of Markham W/ Seperate Enterence And Ensuite Laundry. Walking Distance To Markham District High School, Close To Grocery, Hospital, Schools, Parks And So Much More.**** EXTRAS **** All Existing Elfs & Window Coverings,Fridge, Stove, Range Hood, Washer & Dryer. 1 Driveway Parking Spaces (30295560)",1,House,"22 CAPTAIN ROLPH BLVD|Markham, Ontario L3P2P6","$1,700/Monthly",Single Family,Freehold,1
491,"Bright And Spacious. Professional Finished Basement. Separate Entrance With Fully Covered Foyer. Open Concept Kitchen. Separate Living Room. Windows In Each Room. Close To Yonge St, Bus, Viva, Schools, Shopping, Park & All Amenities!**** EXTRAS **** Fridge, Stove, Range Hood, Washer, Dryer; Separate Entrance With Fully Covered Foyer. Include One Driveway Parking Spot. Utility (Gas, Hydro And Water) And Internet Are All Included! (30296110)",1,House,"#BSMT. -109 YORKLAND ST|Richmond Hill, Ontario L4S1C4","$1,700/Monthly",Single Family,Freehold,1
492,"Updated Basement Apartment For Rent In Beautiful Neighbourhood. 1 Large Bedroom With A Great Amount Of Closet Space. Updated 3 Piece Bathroom With Walk In Tiled Shower. Large Living & Dining Area With Full Kitchen Sized Appliances. Pot Lights, Laminate Floors, Shared Laundry, Separate Entrance. Good Amount Of Natural Light. Great Landlords. Steps To Public Transit. Close To Shopping And Hwy 401. Great Schools & Hospitals Near By. Quiet Neighbourhood.**** EXTRAS **** Utilites Are Shared. 1/3 Will Be Paid By Basement Tenant. Utilities Include Wtr, Heat, A/C, Laundry (Shared), Hydro. Fridge & Stove. (30339491)",1,House,"#BSMT -40 HENLEY CRES|Toronto, Ontario M9W2W9","$1,700/Monthly",Single Family,Freehold,1
493,"Gorgeous One Bedroom Basement Apartment With All Amenities! You Don't Want To Miss This One! Prime Location. Laminate Floors. Neutral Decor. Private Laundry. Lots Of Storage. Kitchen Has All  Appliances. Large, Private Deck! Spacious And Bright. Move In Ready! Great For Single Person Or Couple**** EXTRAS **** Washer, Dryer, Built In Dishwasher,Appliances, Cac, All Elfs And Window Coverings. Utilities Shared 70/30. 1 Car Parking. Private Patio, Single Professional Preferred. (30358032)",1,House,"#BSMNT -128 FLETCHER AVE|Ajax, Ontario L1Z1G2","$1,700/Monthly",Single Family,Freehold,4
494,"Spacious Basement Apartment With Separate Entrance. 3 Bedroom, 2 Full Washroom With 2 Car Parking. No Smoking. Tenant Pay 40% Of Utilities. Great Location. Close To Grocery Stores, Go Station, Public Transit, Harbor Park, Costco, Walmart, Library, Sports Centre, Hospital, Restaurants, Hwy 401 And 412.**** EXTRAS **** Fridge, Stove, Washer And Dryer (Laundry Shared). (30337648)",3,House,"#BSMT -14 BELTON CRT|Whitby, Ontario L1N5P1","$1,700/Monthly",Single Family,Freehold,2
495,"Welcome To This Charming Bright And Spacious Basement Apartment Located In The Quiet Maple Leaf Community, Ample Storage And A Refreshing 4-Piece Bathroom, Separate Entrance, Shared Laundry, Close To Schools, Transit/New Eglinton Lrt, Shopping, Yorkdale And Humber River Hospital.,**** EXTRAS **** Fridge, Stove, Washer And Dryer, Central Vac, Central Air, Walking Distance To Ttc. (30337679)",0,House,"#BSMT -11 DUVAL DR|Toronto, Ontario M6L2J9","$1,700/Monthly",Single Family,Freehold,
496,"Bright,Spacious 2 Bedroom Legal Bsmt Apartment, Good Size Kitchen With Cabinets, Brand New Appliances, 1 Full Washroom, Tons Of Storage Space, Large Bsmt Windows,  1 Parking On Driveway, Utilities 30 % Of Total, 1 Year Lease, Perfect For A Small Family Or Two Professionals, A Must See**** EXTRAS **** Fridge, Stove, Washer & Dryer. Tenant Responsible For 30% Of Utilities, Snow Removal On Their Side Of The Driveway And And Concrete Leading To The Side Door. No Pets Or Smoking (30333643)",2,House,"2 PENBRIDGE  CIRC|Brampton, Ontario L7A2P8","$1,700/Monthly",Single Family,Freehold,4
497,"Beautiful 2 Bedroom Basement Unit In Prestigious Credit Valley Community; Near Mt Pleasant Go Station, Schools, Walmart/Home Depot.**** EXTRAS **** Fridge, Stove, Washer, Dryer. (30329148)",2,House,"#BSMNT -67 COMMODORE DR|Brampton, Ontario L6X0T4","$1,700/Monthly",Single Family,Freehold,
498,"Bright & Spacious 2 Huge Bedrm With Full Bathroom. Prime Location In North York. Easy Access To Ttc, Subway, Shopping, Restaurants, And Entertainment. Enjoy The Peaceful Quiet Million-Home Neighborhood. Family Or Two Persons Can Share Who Are Good At Organizing Home. The Kitchen, Living Room, Laundry Facilities, One Driveway Parking. No Smoking No Pets**** EXTRAS **** Fridge, Stove, Washer/Dryer, And All Electric Fixture Light, Cable Tv (30385514)",2,House,"222 DUNVIEW (BASMENT) AVE|Toronto, Ontario M2N4J1","$1,700/Monthly",Single Family,Freehold,
499,"2 Bed, 1 Bath Ensuite Laundry. Newly Renovated Unit With Separate Entrance.  Can Be Rented Furnished Or Unfurnished.  Great Neighbourhood, Short Walk To Grocery Store, Schools, Transit, And Parks. Short Drive To Hwy 401.**** EXTRAS **** Fridge, Countertop Electric Burner, Air Fryer, Washer, Dryer, No Smoking/Vaping No Pets (30404682)",2,House,"25 NOAKE (BASEMENT) CRES|Ajax, Ontario L1T3L5","$1,700/Monthly",Single Family,Freehold,
500,"Fully Renovated 2 Bedroom Unit. Open Concept & Spacious With Newer Flooring, Stainless Steel Appliances, Newer Kitchen And Bathroom! Close To All Amenities Including Shops, Groceries, Parks, Ttc And More.**** EXTRAS **** Stainless Steel Fridge, Stove. All Utilities Included In Lease Price Except Cable/Internet. No Parking Available On The Property And No Street Permit Parking. (30398492)",2,House,"#LOWER -18 MEADOW LANE AVE|Toronto, Ontario M3L1C1","$1,700/Monthly",Single Family,Freehold,
501,"Location! Location!!  Legal Basement 2 Bedrooms And 2 Washrooms, Separate Entrance. Large Windows. 5 Mins Walk To Ttc, Markham Bus, Amazon, School, Park, Banks, Very Close To Walkmart, Canadian Tire, Home Depot And All Amenities. Landlord Prefer-Single Family Tenant.**** EXTRAS **** S/S Fridge, S.S Stove, Common Washer, Dryer, All Elf's & Window Coverings. 30% Utilities Bills. (30364718)",2,House,"#BSMT -28 CASTLE ROCK CRT|Markham, Ontario L3S0C8","$1,700/Monthly",Single Family,Freehold,1
502,"Immaculate Two Bedrooms, Open Concept Layout Basement Apartment. Perfect For A Small Family. Very Clean And Bright, All Tile Floors, Close To Amenities, Hwy 400, Steps To Shopping And Public Transportations. Separate Entrance,1 Parking On The Driveway Included, No Smoking, No Pets, Tenant To Pay 30% Of Utilities.**** EXTRAS **** Fridge, Gas Stove, Hood Fan And Shared Laundry. (30359264)",2,House,"174 GOLDEN GATE (BSMT) CIRC|Vaughan, Ontario L4H1N5","$1,700/Monthly",Single Family,Freehold,1
503,"Bsmt Unit. Right In The Heart Of Milliken Area! Less Than 5 Minute Walk To Public School (Port Royal Public School), 5 Minute Drive H.S (Albert Campbell Collegiate Institute). Well Maintained, Bright & Spacious. Close To Shops, Grocery, Malls, Restaurants And Other Amenities. Walking Distance To Ttc. Easy Access To Hwy 401.**** EXTRAS **** Includes: Fridge, Cook-Top, Clothes Washer & Dryer, All Electrical Light Fixtures (30378917)",3,House,"#BSMT -447 PORT ROYAL TR|Toronto, Ontario M1V4P9","$1,700/Monthly",Single Family,Freehold,1
504,"Located Close To 401/404, Ttc, Schools, Subway, Shops Of Don Mill, Costco. Large Clean Quiet One Bedroom Apartment With Balcony On Third Floor. Elevator In Building. (30263741)",1,Apartment,"#303 -1325 YORK MILLS RD|Toronto, Ontario M3A1Z6","$1,700/Monthly",Single Family,Condominium/Strata,
505,"Renovated Two Bedroom Apartment In Highly Sought After And Quiet Residential Neighbourhood In Oakville. Close To Transit, Schools And Shopping.**** EXTRAS **** Tenant Pays Forty Percent Of All Utililies. (30025323)",2,House,"231 MARGARET DR|Oakville, Ontario L6K2W3","$1,700/Monthly",Single Family,Freehold,
506,"Beautiful One Bedroom Basement In The Great Location Of Brampton Including Good Size Living Room, Kitchen, Washroom, Private Entrance. 1 Parking Included. No Smoking. Close To Many Jobs Located Along The Hwy 50 Corridor. All Amenities Are Nearby. (30454404)",1,House,"#BSMT -19 REDNOR DR|Brampton, Ontario L6P1P4","$1,700/Monthly",Single Family,Freehold,1
507,"Welcome To 47 Longford Drive. This Professionally Managed Basement Apartment Has Just Been Updated And Is Perfectly Located Within The Town Of Newmarket. Close To Schools, Upper Canada Mall, South Lake Hospital, Transit & Restaurants. Utilities Included! This Lower Unit Offers: 2 Well Appointed Bedrooms, Large Bright And Open Living/Dining Space, 1 Parking On Shared Drive, Shared Laundry,Shared Use Of Yard. (30363165)",2,House,"#LOWER -47 LONGFORD DR|Newmarket, Ontario L3Y2Y6","$1,725/Monthly",Single Family,Freehold,
508,"Fantastic Main Floor And Basement Unit In Stipley Neighbourhood Of Hamilton. Near The Stadium, Shopping And Universities. Bedroom, Living And Kitchen On Main Floor, With A Finished Basement Containing Large Rec Room, Bathroom And Laundry (Not To Be Used As A Bedroom - Additional Space/Family Room Only).**** EXTRAS **** Appliances And Large Capacity Washer/Dryer. (29874834)",1 + 1,House,"#MAIN -32 LLOYD ST S|Hamilton, Ontario L8L3H4","$1,725/Monthly",Single Family,Freehold,
509,"Newly Renovated And Spacious Jr 1 Bedroom Suite, With All Brand New Stainless Steel Appliances, Caesar Stone Counter Tops, Durable Vinyl Flooring, Large Windows With An Abundance Of Light. Walking Distance To Public Transportation, Walk To Shops And Restaurants, Will Suit The Most Discerning Tenant, 4 Min Walk To Woodbine Beach.**** EXTRAS **** 1 Stove, 1 Fridge, 1 Electric Cooktop Shared Washer/Dryer On Lower Level, 1 Locker. (30365990)",1,Apartment,"#102 -204 KINGSTON RD|Toronto, Ontario M4L1S7","$1,725/Monthly",Single Family,Condominium/Strata,
510,"Fully Renovated East-Facing Lower Level Unit Backing Onto A Ravine With Very Generous Natural Light, Lots Of Privacy And Access To Your Own Part Of The Backyard! One Year Old Washer & Dryer. Modern Finishes Throughout & Ensuite Laundry! Sleek Kitchen With Lots Of Storage & Stainless Steel Appliances. Open Concept Layout For You To Create Your Own Space! 1 Parking Included. A One Of A Kind Opportunity To Live In Bayview Village You Don't Want To Miss!**** EXTRAS **** All Existing Appliances(White Fridge, Stainless Steel Stove & Microwave), 1Yr Old Stacked Washer & Dryer),All Existing Elf's And All Existing Window Coverings. 1/3 Of Utilities To Be Paid By The Tenant (Hydro, Water & Gas). (30369836)",0 + 1,Other,"#LOWER -27 VIAMEDE CRES|Toronto, Ontario M2K2A7","$1,725/Monthly",Single Family,,
511,"Welcome To 210 Carlton Street In Downtown, Toronto! Recently Renovated 1 Bedroom Apartment In Highly Sought After Neighbourhood! Open Concept Layout! Stainless Steel Appliances - Fridge & Freezer, Stove, Microwave/Exhaust Hood. Vegetable Spray Faucet, And Large Kitchen Sink. Short Distance To Yonge St., Ryerson/Toronto Metropolitan University, University Of Toronto, Shops, Nightlife, Restaurants. Public Transportation Only A Few Steps From Apartment! Excellent Location!**** EXTRAS **** Stainless Steel Fridge, Stove/Oven, Microwave, All Electrical Light Fixtures. Move In Ready! Shared Coin-Operated Washer & Dryer On Lower Level. (30439627)",1,House,"#301 -210 CARLTON ST|Toronto, Ontario M5A2L1","$1,725/Monthly",Single Family,Freehold,
512,"Spacious 2 Bedroom Suite On Coveted Pacific Avenue... Prime Junction. Restored Detached Victorian, Circa 1888 Architecture With Period Brick Facade, Inviting Front Porch, Basement Suite, Over-Size Open Concept Living & Dining, Renovated Kitchen With Gas Stove & Breakfast Bar, Updated 3Pc. Bathroom. Private Entrance, Convenient Coin-Op Laundry, Street Permit Parking, Short Stroll To Junction And Bloor West Village Shopping & Entertainment, Ttc, High Park**** EXTRAS **** Fridge, Gas Stove, Range Hood, Modern Electrical & Plumbing Throughout, Freshly Painted Suite. Well Managed Building. Suite Available: August 15, September 1st Or September 15th. (30157267)",2,House,"#LOWER -307 PACIFIC AVE|Toronto, Ontario M6P2P8","$1,735/Monthly",Single Family,Freehold,
513,"Welcome To Vibrant, Carefree, Adult Living The Way You've Always Dreamed Of! Edgewood Suites Is A Unique Adult Lifestyle Community Located In The Heart Of Dundalk, A Place Rich In Small Town Charm, Natural Beauty And Superb Amenities. Choose From A Wide Range Of Rental Suite Options From Studios To One And Two-Bedroom Designs, Ideal For Adults Who Want To Spend The Best Years Of Their Life Engaged In Active, Social, Healthy, Connected And Independent Living. (29507903)",1,Apartment,"#202 -270 HAGEN ST E|Southgate, Ontario N0C1B0","$1,745/Monthly",Single Family,Condominium/Strata,
514,"1 Year Old Walkout Basement Apartment With 1 Bedroom And Den And Leaving Area. Full Size Kitchen. Over 25 Portlights Thorough Out The Basement Apartment ,  Main Bedroom Features Large Above Grade Window Overlooking Backyard Allowing For Plenty Of Natural Light.**** Extras **** Fridge, Stove, Washer And Dryer  Parking For 2 Cars Tandem On Private Drive. Tenant Responsible For 30% Of Utilities Servicing Property.**** EXTRAS **** *** Extras **** Fridge, Stove, Washer And Dryer (30437883)",1,House,"59 FRANK KELLY DR|East Gwillimbury, Ontario L9N0V2","$1,750/Monthly",Single Family,Freehold,
515,"Berczy Professional Finished Basement With Very Nice Separate Entrance!   3 Bedrooms Apartment Suit For Any Family! Very Nice And Friendly Landlord.  Berczy Community Top Ranking Pierre Elliott Trudeau High School And Elementary School Nearby!  Close To The Park, Public Transit And Shopping Center!**** EXTRAS **** Fridge, Stove, Washer, Dryer,Range Hood, Lighting  Existing Window Coverings. (30459271)",3 + 0,House,"#BASEMEN -98 VISCOUNT DR|Markham, Ontario L6C2N6","$1,750/Monthly",Single Family,Freehold,1
516,"Berczy Professional Finished Basement With Very Nice Separate Entrance!   3 Bedrooms Apartment Suit For Any Family! Very Nice And Friendly Landlord.  Berczy Community Top Ranking Pierre Elliott Trudeau High School And Elementary School Nearby!  Close To The Park, Public Transit And Shopping Center!**** EXTRAS **** Fridge, Stove, Washer, Dryer,Range Hood, Lighting  Existing Window Coverings. (30459271)",3 + 0,House,"#BASEMEN -98 VISCOUNT DR|Markham, Ontario L6C2N6","$1,750/Monthly",Single Family,Freehold,1
517,"Beautiful And Spacious Basement Apartment With Own Separate Entrance, 2  Large Bedrooms, Brand New Kitchen And Vynal Flooring, Freshly Painted, Professionally Cleaned, 1 Minute Walk  To Davis Dr, Walking Distance To Upper Canada Mall And Tenant Pays 1/3 Utilities**** EXTRAS **** Fridge, Stove, Separate Washer & Dryer, Upgraded Light Fixtures And Pot Lights. 1 Year Lease And Available Immediately. (30379514)",2,House,"#LOWER -189 CHERRYWOOD DR|Newmarket, Ontario L3Y2X9","$1,750/Monthly",Single Family,Freehold,
518,"Beautifully Renovated Apartment Situated In Aurora's Most Desirable Neighborhood . Pot Lights, 4 Pc Washroom , Pretty New Appliances, One Parking Spot On Driveway, Close To All Amenities. Tenant Is Responsible For 1/3 Of Utilities.**** EXTRAS **** Fridge, Stove , Dishwasher, Microwave, Washer And Dryer. One Tenant Only, No Pets (Owners Are Allergy For Pets), No Smoking. (30374167)",1,House,"#BASEMT -6 KERR LANE RD|Aurora, Ontario L4G0E5","$1,750/Monthly",Single Family,Freehold,1
519,"Newly Renovated Basement , Excellent Location Mins From Shopping, Dining, A Rec Centre, & Hwy 400! Amazing Lot! Updated Furnace, Air Conditioning, Easy-Care Laminate Throughout! Ample Parking! (30224445)",2,House,"2004 ST PAUL (LOWER) RD|Innisfil, Ontario L9S1T6","$1,750/Monthly",Single Family,Freehold,
520,"End Unit W/Walk-Out Basement Bright & Renovated Spacious 1Br Basement Apartment With Separate Entrance Suitable For A Couple Or Single.**** EXTRAS **** Fridge, Stove, Washer And Dryer.Tenant Is Responsible To Clean His Own Entrance From Snow. All The Information To Be Verified By Buyer Or Buyer Agent. (30319447)",1,Other,"2 ROSS LINTON DR|Aurora, Ontario L4G6T3","$1,750/Monthly",Single Family,,
521,"Great Location At Bathurst And Finch, Just Renovated Spacious Two Bedroom Basement Unit With Separate Entrance, Three-Piece Bathroom, Open Concept Full Kitchen And Dinning Area, Ensuite Laundry And Plenty Of Storage Space. Close To Many Amenities.**** EXTRAS **** Exclusive Use Of: Existing Fridge, Stove, Microwave, Washer And Dryer. Tenant Pays 1/3 Of All Utilities. Parking Space Is Available For $30/Month. (30438645)",2,House,"#LOWER -33 DROMORE  CRES|Toronto, Ontario M2R2H4","$1,750/Monthly",Single Family,Freehold,
522,"Stunning 1 Bedroom 1 Bathroom Bsmt Unit With Separate Entrance In Garage Located In The Heart Of Maple. Large Kitchen & Living Room. 1 Parking Space On Driveway. All In A Family Friendly Neighbourhood. Walking Distance To Park, Schools, Grocery, Pharmacies, Shopping, And More.**** EXTRAS **** Tenant Pays 30% Of Utilities. Internet Included. Cable, Phone, Not Included. 1 Parking Spot Available On Driveway. No Pets & No Smoking, Landlords Are Highly Allergic To Animals And Smoking. (30436587)",1,Other,"#BSMNT -53 CHERHILL DR|Vaughan, Ontario L6A1H6","$1,750/Monthly",Single Family,,1
523,"2 Bedroom Basement Apartment. Ensuite Laundry. 1 Parking Spot Included. Conveniently Located, Quiet Cul-De-Sac Backing Onto Giltspur Park. Walking Distance To Bus Stop, Supermarkets, Shops, Restaurants And Banks. Minutes To Highways.**** EXTRAS **** Fridge, Stainless Steel Stove/Hood, Washer, Dryer. Tenant Pays 40% Of Utilities (Gas, Hydro, Water) 1 Parking Spot Included. (30444146)",2,House,"#LOWER -9 RAMBLER  PL|Toronto, Ontario M3L1N6","$1,750/Monthly",Single Family,Freehold,
524,"Unique, Bright & Spaces, 2 Bedroom, 1 Bathroom, Walk-Out Basement Apartment With A Separate Entrance From Backyard, Located In The Heart Of Maple. Above Grade Windows In Bedrooms, Double Doors Full Glass And Large Windows In Family/Dining With Loads Of Light. 1 Parking Space On Driveway. Modern, Clean, Freshly Painted And Ready For You To Move In And Enjoy. Easy Access To Public Transportation, Shopping, And Restaurants. Much Desired Neighbourhood.**** EXTRAS **** Tenant Pays 33% Of Utilities. Internet, Cable And Phone Not Included. 1 Parking Spot Available On Driveway. No Pets & No Smoking/Wapping Due To Landlords Are Allergic To Animals And Smoke/Fumes. (30447970)",0 + 2,House,"117 BARLI CRES|Vaughan, Ontario L6A4S2","$1,750/Monthly",Single Family,Freehold,
525,"Welcome To This Extremely Bright And Gorgeous 3 Bedroom Home, Large And Spacious With An Open Concept Layout, Walking Distance To Schools, Community Centre, Bus Stops And All The Other Amenities. Minutes To Hwys! 1 Car Parking, Tenant To Pay 40% Utilities.**** EXTRAS **** Inclusions: Fridge, Stove, Washer, Dryer, Dishwasher, All Existing Window Coverings, & All Existing Light Fixtures. (30447946)",3,House,"103 MANITOU CRES|Brampton, Ontario L6S2Z6","$1,750/Monthly",Single Family,Freehold,1
526,"Very Well Kept Basement Apartment Ready To Move In, Recently Reno'd And Painted, Great Location.**** EXTRAS **** One Fridge, One Stove, All Electrical Light Fixtures, No Parking. Tenant To Pay 30% Of Utilities. (30448105)",1,Row / Townhouse,"#BSMT -32 TODMORDEN DR|Brampton, Ontario L7A1M7","$1,750/Monthly",Single Family,Freehold,
527,"Basement Apartment With Separate Entrance, Super Clean And Upgraded (Built In 2018); Two Spacious Bedrooms With Closet; Exclusive Laundry (Washer/Dryer) For Basement, Large Kitchen, , 3 Piece Bathroom, 1 Parking, Great Neighborhood In Richmondhill, High Rated Schools: Holy Trinity Private School, Richmond Green Secondary School / Redstone Ps Zone**** EXTRAS **** Stove, Side By Side Fridge, Washer & Dryer, 1 Parking On Driveway; Tenant Pays 1/3 Utility (30411396)",2,House,"#BSMT -33 BILBERMAR DR|Richmond Hill, Ontario L4S1B9","$1,750/Monthly",Single Family,Freehold,
528,"1 Year Old Walkout Basement Apartment With 1 Bedroom And Den And Leaving Area. Full Size Kitchen. Over 25 Portlights Thorough Out The Basement Apartment ,  Main Bedroom Features Large Above Grade Window Overlooking Backyard Allowing For Plenty Of Natural Light.**** Extras **** Fridge, Stove, Washer And Dryer  Parking For 2 Cars Tandem On Private Drive. Tenant Responsible For 30% Of Utilities Servicing Property.**** EXTRAS **** *** Extras **** Fridge, Stove, Washer And Dryer (30437883)",1,House,"59 FRANK KELLY DR|East Gwillimbury, Ontario L9N0V2","$1,750/Monthly",Single Family,Freehold,
529,"Stunning Two Bed Basement Apartment With One 5 Piece Bathroom And One Dedicated Parking On  Driveway In Wyndam Manor Community In North Ajax!! Professionally Finished Basement With Big Windows And A Large Storage Space. Spacious And Bright Rooms!! Ideal For Working Professionals, Students, Or A Couple!! Close To Grocery Stores, Shopping Plazas, Schools, And Community Amenities!! Minutes Drive To Highways, Go Train Station, Public Transit, Golf And Park!! Sharing 1/3rd Of Utilities With Tenants At Main Level!! Shared Laundry Twice A Week For Your Convenience!!**** EXTRAS **** One Dedicated Parking On Drive Way!! The Neighborhood Has Street Parking Option Also Available!! (30431398)",1,House,"27 MIDDLECOTE DR|Ajax, Ontario L1T0A4","$1,750/Monthly",Single Family,Freehold,1
530,"The Basement Has Been Fully Remodeled In 2020 W/ Quartz Kitchen Counters And A Modern Full Bathroom. Separate Entrance To The Upper Floor. Students Are Welcome! Tenants Will Pay 40% Utilities (Hydro, Gas, Water, Waste Mgt). Upstairs Will Be Rented Too.**** EXTRAS **** Fridge, Stove, Dishwasher (30445802)",1,House,"#BSMNT -1294 SUNNINGDALE AVE|Oshawa, Ontario L1H8G7","$1,750/Monthly",Single Family,Freehold,
531,"Amazing 1 Bedroom 1 Bathroom Basement For Lease In The Marvelous Cornell Community. No Separate Entrance, However, Basement Door Is Accessible Immediately From The Main Entrance. Parking For One Provided. Open Concept Kitchen & Living/Dining Area, Granite Counter Top. Laundry And Dryer Provided. Minutes From Markham Stoufville Hospital, Future Transportation Station, Close To Schools, Parks, Public Transit, And Stores.**** EXTRAS **** Fridge, Stove, Exhaust Fan, Washer/Dryer, All Electric Light Fixtures, No Pet & Non Smoker, 1 Parking Included (30042069)",1,House,"#BSMNT -34 WILDMOOR ST|Markham, Ontario L6B0N9","$1,750/Monthly",Single Family,Freehold,
